key	value
3	10353813
3	10409661
3	10330873
292868	13811178
292868	10780140
292868	16754695
14342	10426056
14342	10759701
14342	13914466
12295	10603848
12295	10352699
12295	10352644
198665	10661350
198665	22689070
198665	23812463
13	13798518
13	13878965
13	19561057
12302	10321485
12302	21564577
12302	13787759
202767	10615702
202767	10756089
202767	10785384
16	10544654
16	15911163
16	13787068
301073	10552752
301073	11081694
301073	10316002
18	14306384
18	14300971
18	10289332
10243	20753829
10243	15775021
10243	15775022
28692	10319222
28692	14336023
28692	10860937
36886	10731412
36886	13783787
36886	13759334
24	10967198
24	10826006
24	10285677
456708	20620561
456708	16030729
456708	24104658
26	17230271
26	17235973
26	10429305
27	10422514
27	10357714
27	13754594
29	10564110
29	10478776
29	10382250
10270	14203201
10270	10343962
10270	10319978
32	15671720
32	10431530
32	14246270
34	10459693
34	10282952
34	14210507
36	13769531
36	16346521
36	21744607
38	10395039
38	10293011
38	13944281
20522	10325143
20522	10428255
20522	22687692
43	10278120
43	10298976
43	10358652
53292	10785757
53292	10646283
53292	10450452
34861	10451755
34861	14262032
34861	20772447
46	10582221
46	10326955
46	10567289
47	19818588
47	19818627
47	15518529
48	10402479
48	10349879
48	10394834
49	10289276
49	10312275
49	10491893
80222	14310352
80222	13948448
80222	13948620
16439	10295283
16439	10375957
16439	13884809
26292	10488609
26292	10423542
26292	10377122
60	20226979
60	10388334
60	10308673
61	10414967
61	20684152
61	19581070
8255	10508603
8255	14303546
8255	14110169
64	10384323
64	10495297
64	10360778
196269	20629815
196269	21229306
196269	11345102
38980	10596302
38980	21150300
38980	10336443
69	13624268
69	10387119
69	10564821
8262	10812649
8262	21196301
8262	18180837
11617	16986807
11617	10377929
11617	16853295
73	10550093
73	10305853
73	10417723
170059	10773430
170059	19773672
170059	21500883
77	10377722
77	19638789
77	19638747
14344273	10325566
14344273	10344865
14344273	10325570
8274	14327719
8274	10782081
8274	10509199
14	10362480
14	14234023
14	10390859
86	10569545
86	10327075
86	10394964
87	10384409
87	10588694
87	10412311
88	10454444
88	20613224
88	10515161
34907	17894731
34907	21718637
34907	10329583
92	10506967
92	10413838
92	20613282
16477	10393719
16477	10507942
16477	10364586
94	10565906
94	11321174
94	10447272
31077	10270322
31077	10275844
31077	10281136
96	10283139
96	10521930
96	19616514
150203	10566095
150203	10566096
150203	10566089
34916	14254365
34916	10572182
34916	10677310
419624	14328148
419624	14131202
419624	10947724
105	18768005
105	13974925
105	10338064
12394	10745203
12394	10412423
12394	10722219
108	20783519
108	10515266
108	10338226
13969519	13853274
13969519	10493136
13969519	10482324
112	10478058
112	11083416
112	10374905
114	10514506
114	10440552
114	10514467
115	10979090
115	10335948
115	10391199
117	11025476
117	10524619
117	10655650
118	10495598
118	10378484
118	10336249
119	10812625
119	10484217
119	10495814
120	13839943
120	10545020
120	10491211
2169	13834233
2169	10973313
2169	10752043
125	13947086
125	13847154
125	10392754
8319	10418897
8319	10501753
8319	10353215
13885569	14179702
13885569	14185645
13885569	14257364
22658	15522022
22658	16427995
22658	21936438
274563	13824903
274563	10709597
274563	10709602
133	10327305
133	19579477
133	10328979
134	11005979
134	10993196
134	14196106
138	10401122
138	10595890
138	15503611
30501911	21587858
143	13835769
143	10719011
143	10793292
144	10382467
144	20205198
144	10425212
8337	10394864
8337	10370531
8337	10334827
146	10856899
146	10304608
146	10452289
69779	22109825
69779	16291035
69779	22109827
75924	10302902
75924	10395856
75924	10276284
149	20613055
149	20613053
149	10290072
221336	11020144
221336	11020146
221336	13815730
8347	11343220
8347	10336954
8347	11343225
158	10323104
158	13899254
158	13899273
11220677	21869338
11220677	16976323
11220677	19716923
160	10491891
160	10728098
160	10872412
161	20854793
161	11235742
161	11228658
163	10573769
163	10573780
163	10300300
10404	10831577
10404	10286879
10404	10317400
7707	10441041
