key	value
163841	10950403
163841	21471054
163841	20915695
13783496	15606753
13783496	13855557
13783496	21937996
67589	21146033
67589	10656994
67589	10342078
317449	20806056
317449	14200780
317449	16252351
14129165	22328918
14129165	22328919
14129165	15675746
100366	10525670
100366	13850221
100366	15787838
7171	10486486
7171	13835166
7171	21220109
13889557	17237673
13889557	18638286
13889557	14230127
485400	10998860
485400	10998869
485400	10998866
20508	10539230
20508	10578916
20508	10660511
8228	10358840
8228	14195205
8228	11059554
10277	10461308
10277	10936348
10277	13768615
34854	10371106
34854	10841276
34854	10370453
6183	10370733
6183	10353339
6183	10548187
8233	13869131
8233	10332960
8233	14318184
10282	12219375
10282	13800458
10282	10327432
450604	11011247
450604	13813691
450604	11015379
81965	10281125
81965	13830258
81965	10413401
14004573	20510417
14004573	17489828
14004573	17530953
8243	20773406
8243	13797793
8243	13797673
352312	20833637
352312	10874995
352312	13779406
346170	21491340
346170	10813946
346170	10941408
116795	10480399
116795	10685889
116795	22329169
28732	10465499
28732	10400422
28732	10772120
20542	20773586
20542	16910474
20542	10304652
63	10412693
63	10312996
63	10293712
13920321	14202151
13920321	14246725
13920321	19065088
97931	10633546
97931	10707339
97931	17439961
14309445	16928518
14309445	17217942
14309445	17217936
524359	17456263
524359	17422080
524359	18624909
4169	10722098
4169	10741273
4169	10777414
24397898	20883141
24397898	21270188
24397898	19620361
8267	10529300
8267	20992959
8267	10872381
24513808	20207359
24513808	21199603
24513808	15686006
501840	20875625
501840	13839691
501840	11019609
26296	10982135
26296	13863153
26296	20515589
28759	10573779
28759	17314470
28759	10872669
151640	10536873
151640	10766291
151640	10933428
147546	21261581
147546	10532486
147546	22357340
57437	13778190
57437	10570311
57437	16574305
20574	10599814
20574	10598685
20574	17266798
346208	10800661
346208	16984430
346208	10978615
24673	10711827
24673	10778351
24673	10628083
127074	10924137
127074	18116511
127074	22180319
206948	10621632
206948	13813109
206948	14124537
13992037	10684130
13992037	21146071
13992037	21146070
59502	10666524
59502	10759781
59502	10650206
18545	20818442
18545	15863827
18545	10385105
101054	10611314
101054	10297705
101054	20456571
65655	10994732
65655	10949506
65655	13792007
10360	10367090
10360	10464424
10360	10339619
180346	14186768
180346	14274489
180346	14242629
96379	11082884
96379	10738975
96379	19643535
173971	10459829
173971	10585590
173971	22075298
551038	17569911
551038	13052534
13575	10531207
13575	14219722
13575	14299583
4227	20613478
4227	10408349
4227	10271891
108677	10721204
