key	value
163841	10950403
163841	21471054
163841	20915695
163841	10555520
3	10353813
3	10409661
3	10330873
3	10856732
65540	10426310
65540	11054388
65540	10608657
65540	10426309
7	10439433
7	13350320
7	10276525
7	10552524
9	10543796
9	10265954
9	18335360
9	10327009
10	10808246
10	13807958
10	10736242
10	13807959
11	10872529
11	10293118
11	13589071
11	10401280
13	13843226
13	13794481
13	13843227
13	13843228
14	10362480
14	14234023
14	10390859
14	10376703
15	10430935
15	13884373
15	10439934
15	10390891
16	10544654
16	15911163
16	13787068
16	10276605
17	10566582
17	19775789
17	11310231
17	13842537
18	14300971
18	10289332
18	14218949
18	14306384
21	10330593
21	10449526
21	21646368
21	13805605
22	13802326
22	14219729
22	13853773
22	10387414
23	11316646
23	14193057
23	10477669
23	10558546
24	10967198
24	10285677
24	10826006
24	10786675
26	10918003
26	10514285
26	10429305
26	17235973
27	10422514
27	10357714
27	13754594
27	10318066
28	10658952
28	10468161
28	10347121
28	16307258
29	10382250
29	10564110
29	10364649
29	10326503
30	10533647
30	10342114
30	14325353
30	20748854
32	10562505
32	10431530
32	20613298
32	10562507
33	10762171
33	10281868
33	20946333
33	15496533
34	10459693
34	10282952
34	14210507
34	20613464
35	10406154
35	10315634
35	10411835
35	10314906
36	13769531
36	16346521
36	21744607
36	10265965
38	10395039
38	10293011
38	10561822
38	10293449
39	12830530
39	10592374
39	12827757
39	10278938
229416	10877422
229416	24057638
229416	11031381
229416	19817927
41	10513429
41	10490356
41	16712507
41	22016809
43	10392253
43	10771913
43	10739855
43	10734462
44	11041595
44	20768970
44	23624343
44	10325249
46	10497876
46	10372520
46	10371543
46	10567289
47	19818588
47	19818627
47	15518529
47	10401181
48	10321267
48	10414814
48	10314632
48	10339195
49	11324913
49	20503199
49	14339486
49	10342953
491570	20395040
491570	21878880
491570	17021207
491570	17063444
109235	15510615
109235	10921127
109235	21386926
109235	15674266
53	12739998
53	13911971
53	14277089
53	10705253
54	10590500
54	10274537
54	10500164
54	10631495
56	10506602
56	10404862
56	20774353
56	10401993
57	14268562
57	12833183
57	10439912
57	10472273
60	10388334
60	20226979
60	10308673
60	10567130
61	14288323
61	10555666
61	15503306
61	19629926
63	14272538
63	10412693
63	13857636
63	10307480
64	10867579
64	10470035
64	10394357
64	10478379
65	13859655
65	10612635
65	13625620
65	10336201
66	10324626
66	10509681
66	10405464
66	10438165
67	10909395
67	10365921
67	10341134
67	10557481
