key	value
3	18033970
3	18033971
3	18033972
3	18033973
3	18033974
3	18033975
3	18033976
3	18033977
3	18033978
3	18033979
3	14620092
3	2331969
3	14620093
3	2331971
3	2331972
3	14620094
3	2331974
3	14620095
3	2331976
3	2331977
3	13816735
3	13816736
3	13816737
3	13816738
3	1355245
3	1355246
3	1355248
3	1355249
3	13816740
3	13816741
292868	15288517
292868	15288518
292868	15288519
292868	15288520
292868	15288521
292868	15288522
292868	15288523
292868	15288524
292868	15288525
292868	15288526
292868	6606548
292868	6606549
292868	6606550
292868	6606551
292868	6606552
292868	50129583
14342	2535789
14342	2535790
14342	2535791
14342	2535792
14342	2535793
14342	2535794
14342	2535795
14342	2535796
14342	2535797
14342	2535798
14342	6376081
14342	6376082
14342	14175828
14342	6376084
14342	6376085
14342	6376086
14342	6376087
14342	6376088
14342	6376089
14342	6376090
14342	15863054
14342	15863055
14342	15863056
14342	15863057
14342	15863058
14342	15863059
14342	15863060
14342	15863061
14342	15863062
14342	15863063
12295	4647771
12295	4647772
12295	14065921
12295	4647774
12295	14065922
12295	14065923
12295	1629349
12295	1629350
12295	1629351
12295	1629352
12295	1629353
12295	1629354
12295	1629355
12295	1629356
12295	1629357
12295	1629358
12295	1628581
12295	1628582
12295	1628583
12295	1628584
12295	1628585
12295	1628586
12295	1628587
12295	1628588
12295	1628589
198665	5295849
198665	5295850
198665	105611125
198665	105611126
198665	105611127
198665	105611128
198665	113286443
198665	113286444
198665	113286445
198665	113286446
198665	113286447
198665	113286448
198665	113286449
198665	113286450
13805436	81744603
13805436	78079323
13805436	78079324
13805436	78079325
13805436	78079326
13805436	78079327
13805436	78079328
13805436	78079329
13805436	78079330
13805436	78079331
13805436	78079332
13805436	81004926
13	30617445
13	30617449
13	30617454
13	30617459
13	30617463
13	30617469
13	30617472
13	30617476
13	30617480
13	30617484
13	15412022
13	15412023
13	15412024
13	15412025
13	15412026
13	15412027
13	15412028
13	15412029
13	15412030
13	15412031
13	72357351
13	72357352
13	72357353
13	72357354
13	72357355
13	72357356
13	72357357
13	72357358
13	72357359
13	72357360
12302	1236815
12302	13806394
12302	1236817
12302	1236818
12302	1236819
12302	1236820
12302	94423986
12302	94423987
12302	94423988
12302	94423989
12302	94423990
12302	94423991
12302	94423992
12302	94423993
12302	94423994
12302	94423995
12302	31148820
12302	31148822
12302	31148825
12302	31148827
12302	31148830
12302	31148832
12302	31148835
12302	31148838
12302	31148840
12302	31148844
202767	4789173
202767	4789174
202767	4789175
202767	4789176
202767	4789177
202767	4789178
202767	4789179
202767	4789180
202767	4789181
202767	4789182
202767	6335942
202767	6335943
202767	6335944
202767	6335945
202767	6335946
202767	6335947
202767	6335948
202767	6663612
202767	6663613
16	3950612
16	3950613
16	3950614
16	3950615
16	3950616
16	3950617
16	3950618
16	3950619
16	3950620
16	3950621
16	40242907
16	40242908
16	40242911
16	40242914
16	40242916
16	40242918
16	40242919
16	40242921
16	40242922
16	40242923
16	30491132
16	30491167
16	30491175
16	30491184
16	30491193
16	30491199
16	30491205
16	30491216
16	30491221
16	1015882
301073	4046046
301073	4046047
301073	4046048
301073	4046049
301073	4046050
301073	4046051
301073	4046052
301073	4046053
301073	4046054
301073	4046055
301073	10184371
301073	10184372
301073	10184373
301073	10184374
301073	10184375
301073	10184376
301073	16205450
301073	10184378
301073	10184379
301073	10184380
301073	31526261
301073	31526272
301073	31526283
301073	31526294
301073	31526303
301073	31526310
301073	31526317
301073	31526325
301073	31526335
301073	31526343
18	31489141
18	31489145
18	31489148
18	31489149
18	31489152
18	31489156
18	31489158
18	31489165
18	31489167
18	31489169
18	31459477
18	31459482
18	31459487
18	31459492
18	31459498
18	31459503
18	31459508
18	31459513
18	31459519
18	31459525
18	829025
18	829026
18	829027
18	829028
18	829029
10243	82729452
10243	82729491
10243	82729508
10243	38010026
10243	38010029
10243	38010031
10243	38010039
10243	38010040
28692	1207841
28692	1207842
28692	1207843
28692	1207844
28692	1207845
28692	1207846
28692	1207847
28692	1207848
28692	1207849
28692	1207850
28692	19963653
28692	19963654
28692	19963655
28692	19963656
28692	19963657
28692	19963658
28692	19963659
28692	19963660
28692	19963661
28692	19963662
28692	7440959
28692	7440960
36886	6071740
36886	30454021
36886	30454022
36886	30454023
36886	30454024
36886	30454026
36886	30454028
36886	30454029
36886	30454031
36886	30454033
36886	31529767
36886	31529770
36886	31529772
36886	31529778
36886	31529781
36886	31529784
36886	31529786
36886	31529788
36886	31529791
24	17479020
24	17479021
24	14222077
24	14222078
24	7100572
24	14222079
24	14222080
24	14222081
24	14222082
24	14222083
24	14222084
24	14222085
24	783205
24	783206
24	783207
24	783208
24	783209
24	783210
24	783211
24	783212
24	783213
24	783214
456708	81734833
456708	42104339
456708	96965092
456708	42104341
456708	96965093
456708	42104343
456708	96965094
456708	42104345
456708	96965095
456708	116224727
456708	116224728
456708	116224729
456708	116224731
26	54782088
26	54782089
26	54782090
26	54782091
26	54782092
26	54782093
26	54782094
26	54782095
26	54782096
26	54782097
26	54853215
26	54853216
26	54853217
26	54853218
26	54853219
26	54853220
26	54853221
26	54853222
26	54853223
26	54853224
26	14629070
26	14629071
26	14629072
26	2577519
26	14629073
26	14629074
26	14629075
26	14629076
26	2577524
26	2577525
27	2492051
27	14626034
27	2492053
27	2492054
27	2492055
27	2492056
27	2492057
27	2492058
27	2492059
27	2492060
27	17479048
27	17479049
27	30110399
27	30110405
27	30110409
27	30110412
27	30110416
27	30110420
27	30110425
27	30110429
27	30110432
29	19389296
29	19389297
29	19389298
29	19389299
29	19389300
29	19389301
29	19389302
29	19389303
29	19389304
29	19389305
29	3176173
29	3176174
29	3176175
29	14607112
29	1996236
29	14607113
29	14607114
29	1996244
29	13876196
29	1996247
29	13876197
29	1996250
29	13876198
10270	17187246
10270	17187247
10270	17187248
10270	17187249
10270	17187250
10270	17187251
10270	17187252
10270	17187253
10270	17187254
10270	17187255
10270	1521471
10270	1521472
10270	1217476
10270	1217477
10270	1217478
10270	1217479
10270	1217480
10270	1217481
10270	1217482
10270	1217483
10270	1217484
10270	1217485
32	36431262
32	36431263
32	36431264
32	36431265
32	36431266
32	36431267
32	36431268
32	36431269
32	36431270
32	36431271
32	13927035
32	13927036
32	13927037
32	13927038
32	13927039
32	13927040
32	13927041
32	13927042
32	13927043
32	13927044
32	18219519
32	18219520
32	18219521
34	2948235
34	2948236
34	2948237
34	2948238
34	2948239
34	2948240
34	2948241
34	2948242
34	2948243
34	2948244
34	749037
34	749038
34	749039
34	749040
34	749041
34	749042
34	749043
34	749044
34	749045
34	749046
34	17330179
34	17330180
34	17330181
34	17330182
34	17330183
34	17330184
34	17330185
34	17330186
34	17330187
34	17330188
36	31178182
36	31178187
36	31178193
36	31178198
36	31178205
36	31178212
36	31178217
36	31178222
36	31178227
36	31178233
36	46217381
36	46217382
36	46217383
36	46217384
36	46217385
36	46217386
36	46217387
36	46217388
36	46217389
36	46217390
36	96579226
36	96579228
36	96579229
36	96579230
36	96579231
36	96579232
36	96579233
36	96579234
36	96579235
36	96579236
38	2153900
38	2153901
38	2153902
38	2153903
38	14613217
38	2153905
38	2153906
38	13889744
38	2153908
38	2153909
38	876231
38	876232
38	876233
38	876234
38	876235
38	876236
38	876237
38	876238
38	876239
38	876240
38	17151636
38	17151637
38	17151638
38	17151639
38	17151640
38	17151641
38	17151642
38	17151643
38	17151644
38	17151645
20522	13810326
20522	13810327
20522	13810328
20522	13810329
20522	13810330
20522	13810331
20522	13810332
20522	13810333
20522	13810334
20522	13810335
20522	2563741
20522	2563742
20522	2563743
20522	2563744
20522	2563745
20522	2563746
20522	105601594
43	693515
43	693516
43	693517
43	13752885
43	693519
43	13752886
43	693521
43	13752887
43	693523
43	693524
43	953394
43	953395
43	953396
43	953397
43	953398
43	953399
43	953400
43	953401
43	14563149
43	953403
43	1702642
43	14594635
43	14594636
43	1702646
43	14594638
43	1702648
43	1702649
43	1702650
43	1702651
43	1702652
53292	16779064
53292	16779065
53292	16779066
53292	16779067
53292	16779068
53292	16779069
53292	16779070
53292	16779071
53292	16779072
53292	16779073
53292	16995732
53292	16995733
53292	16995734
53292	16995735
53292	16995736
53292	16995737
53292	16995738
53292	16995739
53292	16995740
53292	16995741
53292	17106029
53292	17106030
53292	17106031
53292	17106032
53292	17106033
53292	17106034
53292	17106035
53292	17106036
53292	17106037
53292	17106038
34861	2853866
34861	2853867
34861	2853868
34861	2853869
34861	2853870
34861	2853871
34861	2853872
34861	2853873
34861	2853874
34861	2853875
34861	31332823
34861	31332831
34861	31332840
34861	31332848
34861	31332858
34861	31332868
34861	31332877
34861	31332884
34861	31332891
34861	31332898
34861	83074633
34861	83074634
34861	83074635
34861	83074636
34861	83074637
34861	83074638
34861	83074639
34861	83074640
34861	83074641
34861	83074642
46	14682567
46	14682568
46	14682569
46	1304757
46	1304758
46	14578051
46	14578052
46	1304761
46	1304762
46	1304763
46	1304764
46	1304765
46	14578053
46	14038495
46	14038496
46	4218108
46	14038497
46	4218110
46	14038498
46	4218112
46	4218113
46	14038499
46	14038500
47	75253938
47	75253939
47	75253940
47	75253941
47	75253942
47	75253943
47	75253945
47	75253948
47	75253949
47	75253951
47	75254509
47	75254510
47	75254511
47	75254512
47	75254513
47	75254514
47	75254515
47	75254516
47	75254517
47	75254518
47	34298434
47	34298435
47	34298436
47	34298437
47	34298438
47	34298439
47	34298440
47	34298441
47	34298442
47	34298443
48	14616846
48	2243154
48	14616847
48	2243156
48	2243157
48	14616848
48	2243159
48	2243160
48	14616849
48	2243162
48	18535796
48	18535797
48	18535798
48	18535799
48	18535800
48	18535801
48	18535802
48	18535803
48	18535804
48	18535805
48	2151374
48	2151375
48	2151376
48	2151377
48	2151378
48	2151379
48	2151380
48	2151381
48	2151382
48	13889514
49	828438
49	828439
49	13766731
49	828441
49	828442
49	828443
49	828444
49	828445
49	828446
49	828447
49	1122580
49	1122581
49	1122582
49	1122583
49	1122584
49	1122585
49	1122586
49	1122587
49	1122588
49	1122589
49	3330143
49	3330144
49	3330145
49	3330146
49	3330147
49	3330148
49	3330149
49	3330150
49	3330151
49	3330152
80222	19494558
80222	19494559
80222	16464467
80222	16464468
80222	16464469
80222	16464470
80222	16464471
80222	16464472
80222	16464473
80222	16464474
80222	16464475
80222	16464476
80222	16346299
80222	16346300
80222	16346301
80222	16346302
80222	16346303
80222	16346304
80222	16346305
80222	16346306
80222	16346307
80222	16346308
16439	15269300
16439	905117
16439	905118
16439	905119
16439	14560614
16439	905121
16439	905122
16439	905123
16439	14560615
16439	905125
16439	31041818
16439	31041821
16439	31041824
16439	31041826
16439	31041828
16439	31041830
16439	31041831
16439	31041832
16439	31041833
16439	31041834
16439	15497054
16439	15497055
16439	15497056
16439	15497057
16439	15497058
16439	15497059
16439	15497060
16439	15497061
16439	15497062
16439	15497063
261812	7850387
261812	7850388
261812	7850389
261812	7850390
261812	7850391
261812	7850392
261812	7850393
261812	50444148
261812	50444150
261812	50444152
261812	50444154
261812	50444156
261812	50444158
261812	50444160
261812	50444162
261812	50444164
261812	50444165
261812	30429708
261812	30429710
261812	30429713
261812	30429715
261812	30429717
261812	30429720
261812	30429721
261812	30429722
261812	30429723
261812	30429724
60	78366298
60	2071783
60	2071784
60	2071785
60	14609905
60	2071787
60	2071788
60	2071789
60	13790784
60	14568907
60	1076065
60	14568908
60	14568909
60	1076068
60	14568910
60	14568911
60	14568912
60	14568913
61	2398831
61	2398832
61	2398833
61	2398834
61	2398835
61	2398836
61	2398837
61	2398838
61	2398839
61	2398840
61	82073616
61	82073617
61	82073618
61	82073619
61	82073620
61	82073621
61	82073622
61	82073623
61	82073624
61	82073625
61	72575015
61	72575016
61	72575017
61	72575018
61	72575019
61	72575020
61	72575021
61	72575022
61	72575023
61	72575024
8255	3528629
8255	3528630
8255	3528631
8255	3528632
8255	3528633
8255	3528634
8255	3528635
8255	3528636
8255	3528637
8255	3528638
8255	19377677
8255	19377678
8255	19377679
8255	19377680
8255	19377681
8255	19377682
8255	19377683
8255	19377684
8255	19377685
8255	19377686
8255	16547758
8255	16547759
8255	16547760
8255	16547761
8255	16547762
8255	16547763
8255	16547764
8255	16547765
8255	16547766
8255	16547767
64	2021292
64	2021293
64	2021294
64	2021295
64	2021296
64	2021297
64	2021298
64	2021299
64	2021300
64	2021301
64	3371213
64	13984936
64	13984937
64	13984938
64	13984939
64	13984940
64	13984941
64	13984942
64	13984943
64	13984944
64	13851670
64	1729594
64	13851671
64	13851672
64	1729597
64	13851673
64	1729599
64	1729600
64	13851674
64	14595655
38980	4558850
38980	4558851
38980	88331741
38980	88331742
38980	88331743
38980	88331744
38980	88331745
38980	88331746
38980	88331747
38980	88331748
38980	88331749
38980	88331750
38980	1426512
38980	1426513
38980	1426514
38980	1426515
38980	1426516
38980	1426517
38980	1426518
38980	1426519
38980	1426520
38980	1426521
69	16264119
69	16264120
69	16264121
69	16264122
69	16264123
69	16264124
69	16264125
69	16264126
69	16264127
69	16264128
69	2056252
69	2056253
69	2056254
69	2056255
69	2056256
69	14609372
69	2056258
69	2056259
69	2056260
69	2056261
69	4188797
69	4188798
69	4188799
69	4188800
69	4188801
69	4188802
69	4188803
69	4188804
69	4188805
69	4188806
8262	14213416
8262	14213417
8262	14213418
8262	14213419
8262	14213420
8262	14213421
8262	14213422
