key	value
8196	66936147
8196	66936149
8196	66936150
8196	66936151
8196	19536385
8196	19536386
8196	19536387
8196	19536388
8196	19536389
8196	19536390
8196	19536391
8196	19536392
8196	19536393
8196	19536394
8196	59772556
8196	59772558
8196	59772559
14341	19400606
14341	19400607
14341	19400608
495623	82791029
495623	82791030
495623	83432867
11	7567322
11	7567323
11	7567324
11	7567325
11	7567326
11	7567327
11	7567328
11	7567329
11	7567330
11	14249577
11	13588516
11	13588517
11	13588518
11	13588519
11	13588520
11	14397261
11	13588522
11	13588523
11	13588524
11	13588525
10253	30873522
10253	30873524
10253	30873528
10253	30873532
10253	30873538
10253	30873544
10253	30873549
10253	30873553
15	2598093
15	2598094
15	2598095
15	2598096
15	2598097
15	2598098
15	2598099
15	2598100
15	15492057
15	15492058
15	15492059
15	15492060
15	15492061
15	15492062
15	15492063
15	15492064
15	15492065
15	15492066
15	2708275
15	2708276
15	2708277
15	2708278
15	2708279
15	2708280
15	2708281
15	2708282
15	2708283
15	2708284
17	31327749
17	31327755
17	31327760
17	31327768
17	31327775
17	31327781
17	31327787
17	31327794
17	31327800
17	31327806
20498	4105287
20498	14675022
20498	14675023
20498	14675024
20498	14675025
20498	14675026
20498	14675027
20498	4105294
20498	14675028
20498	14031748
20498	1193278
20498	1193279
20498	1193280
20498	14574235
20498	1193282
479918	16840971
479918	66220940
479918	66220941
94231	3667531
94231	3667532
94231	3935868
94231	3935869
94231	3935870
94231	3935871
94231	3935872
94231	3935873
94231	3935874
94231	3935875
94231	3935876
94231	3935877
12312	18266009
12312	18266010
12312	18266011
12312	18266012
12312	18266013
12312	18266014
12312	18266015
12312	18266016
12312	18266017
12312	18266018
67609	5038801
67609	5038802
67609	5038803
67609	5038804
67609	112709035
67609	112709036
30746	7036174
30746	7036175
30746	7036176
30746	7036177
5791	5284567
5791	5284568
5791	5284569
5791	30383173
5791	30383175
5791	30383177
5791	35196336
5791	35196337
5791	35196338
11935	6378450
11935	14176077
11935	14176078
11935	14176079
11935	14176080
11935	14176081
11935	14176082
11935	14176083
11935	14176084
11935	6378459
11935	2065627
11935	2065628
11935	2065629
11935	2065630
11935	2065631
11935	2065632
11935	2065633
11935	2065634
11935	2065635
11935	2065636
11935	13917828
11935	14402109
11935	13917830
11935	13917831
11935	14402110
11935	14402111
11935	14402112
11935	13917835
11935	14402113
11935	14402114
8221	1935587
8221	1935588
8221	1935589
8221	1935590
8221	1935591
8221	14604093
8221	1935593
8221	1935594
8221	1935595
8221	1935596
8221	1316536
8221	1316537
8221	1316538
8221	1316539
8221	1316540
8221	1316541
8221	1316542
8221	1316543
8221	1316544
8221	1316545
6178	2665820
6178	2665821
6178	2665822
6178	2665823
6178	2665824
6178	2665825
6178	2665826
6178	2665827
6178	2665828
6178	14615995
6178	2217294
6178	14615996
6178	14615997
6178	14615998
6178	14615999
6178	14616000
6178	14616001
6178	14616002
6178	2217302
35	2288611
35	2288612
35	2288613
35	2288614
35	2288615
35	2288616
35	2288617
35	2288618
35	2288619
35	14618453
264230	47931148
264230	47931150
264230	47972447
264230	47972448
39	12827393
39	12827394
39	12827395
39	12827396
39	12827397
39	12827398
39	12827399
39	12827400
39	12827401
39	12827402
135208	15063978
135208	15063979
135208	15063980
135208	15063981
135208	15063982
135208	15063983
135208	15063984
135208	15063985
135208	15063986
135208	30886160
135208	30886168
135208	30886175
135208	30886182
135208	30886188
135208	30886194
135208	30886200
135208	30886205
135208	5028730
135208	5028731
135208	5028732
135208	5028733
135208	5028734
41	49740580
41	49740586
41	49740591
41	49740595
41	49740600
41	49740604
41	49740610
41	49740613
41	49740618
41	49740623
47111	54208039
47111	54208042
47111	54208045
47111	54208048
47111	54208052
47111	54208055
47111	54208057
47111	54208060
47111	54208062
47111	54208064
47111	113719525
47111	113719526
47111	113719527
47111	113719529
47111	113719531
47111	113719533
47111	113719535
47111	113719537
47111	113719539
47111	113719541
3763	15904029
3763	15904030
3763	15904031
3763	15904032
3763	15904033
3763	15904034
3763	15904035
3763	15904036
3763	15904037
3763	15904038
3763	2901338
3763	2901339
3763	2901340
3763	2901341
3763	2901342
3763	2901343
3763	2901344
3763	2901345
3763	2901346
3763	2901347
3763	2901299
3763	2901300
3763	2901301
3763	2901302
3763	2901303
3763	2901304
3763	2901305
3763	2901306
3763	2901307
3763	2901308
157748	4746575
157748	4746576
157748	4746577
157748	4746578
157748	3968162
157748	3968163
157748	3968164
157748	3968165
157748	3968166
157748	3968167
157748	3968168
157748	3968169
157748	3968170
157748	3968171
243765	83488865
56	3504530
56	3504531
56	3504532
