key	value
378462	16694262
378462	16694263
378462	16694264
378462	16694265
378462	16694266
378462	16694267
378462	16694268
378462	16694269
378462	16694270
378462	16694271
378462	72437337
378462	72437338
378462	72437339
378462	72437340
378462	72437341
378462	72437342
378462	72437343
378462	72437344
378462	72437345
378462	72437346
378462	72437143
378462	72437144
378462	72437145
378462	72437146
378462	72437147
378462	72437148
378462	72437149
378462	72437150
378462	72437151
524494	15558509
524494	15558510
524494	15558511
524494	15558512
524494	15558513
524494	15558514
524494	15558515
524494	15558516
524494	15558517
524494	15558518
524494	76004192
524494	76004193
524494	18224897
524494	18224898
524494	18224899
524494	18224900
524494	49485399
524494	49485400
524494	49485401
524494	49485402
524494	49485403
73463	74099382
73463	74099383
73463	74099384
73463	74099385
73463	74099386
73463	74099387
73463	74099388
73463	74099389
73463	74099390
73463	74099391
73463	4746714
73463	4746715
73463	4746716
73463	4746717
73463	4746718
73463	4746719
73463	4746720
73463	4746721
73463	4746722
73463	4746723
73463	48532232
73463	48532235
73463	48532237
73463	48532240
73463	48532242
73463	48532245
73463	48532248
73463	48532250
73463	48532253
73463	48532254
73463	56888273
73463	56888278
73463	56888282
73463	56888286
73463	56888289
73463	56888292
73463	56888295
73463	56888299
73463	56888301
73463	56888303
400410	72423347
400410	72423348
400410	72423349
400410	72423350
400410	72423351
400410	72423352
400410	72423353
400410	72423354
400410	72423355
400410	72423356
400410	8310800
400410	8310801
400410	8310802
400410	8310803
400410	8310804
400410	8310805
400410	50656251
400410	50656255
400410	50656257
400410	50656260
400410	50656263
400410	50656265
400410	80854116
400410	80854117
400410	80854118
400410	80854119
400410	80854120
400410	80854121
400410	80854122
400410	80854123
400410	80854124
400410	80854125
11543	4743521
11543	4743522
11543	4743523
11543	4743524
11543	4743525
11543	4743526
11543	4743527
11543	4743528
11543	4743529
11543	4743530
11543	1611772
11543	1611773
11543	1611774
11543	1611775
11543	1611776
11543	1611777
11543	1611778
11543	1611779
11543	1611780
11543	1611781
11543	4743516
11543	4743517
11543	4743518
11543	4743519
11543	4743520
11543	17590694
11543	17590695
101765	44776547
101765	44776549
101765	44776550
101765	44776551
101765	44776552
101765	44776554
101765	44776556
101765	44776559
101765	44776563
101765	44776567
101765	44776782
101765	44776783
101765	44776785
101765	44776786
101765	44776787
101765	44776789
101765	44776791
101765	44776792
101765	44776793
101765	44776794
101765	15040861
101765	15040862
101765	15040863
101765	15040864
101765	15040865
101765	15040866
101765	15040867
101765	15040868
101765	15040869
101765	15040870
101765	37100151
101765	37100152
101765	37100153
101765	37100154
101765	37100155
101765	37100156
101765	37100157
101765	37100158
101765	37100159
101765	37100160
185100	83100052
185100	83100053
185100	83100054
185100	83551196
185100	4722410
185100	4722411
185100	4722412
185100	4722413
185100	4722414
185100	4722415
185100	4722416
185100	4722417
185100	4722418
185100	4722419
185100	5033644
185100	5033645
185100	5033646
185100	5033647
185100	5033648
185100	5033649
185100	5033650
185100	5033651
185100	5033652
185100	5033653
11546	1952049
11546	1952050
11546	1952051
11546	1952052
11546	1952053
11546	1952054
11546	1952055
11546	1952056
11546	3503541
11546	3503542
11546	3503543
11546	3503544
11546	3503545
11546	3503546
11546	3503547
11546	3503548
11546	3503549
11546	3503550
11546	1952044
11546	1952045
11546	1952046
11546	1952047
11546	1952048
11546	3989686
11546	3989687
11546	3989688
11546	3989689
11546	3989690
11546	3989691
11546	3989692
11546	3989693
230734	5240734
230734	5240735
230734	5240736
230734	5240737
