key	value
13963351	10249073
13963351	10249074
13963351	10249075
13963351	10249076
13963351	10249077
13963351	10249078
13963351	10249079
13963351	10249080
13963351	10249081
13963351	10249082
13963351	3101735
13963351	3101736
13963351	3101737
13963351	3101738
13963351	15780054
13963351	15780055
13963351	15780056
13963351	15780057
13963351	15780058
13963351	15780059
13963351	15780060
13963351	15780061
13963351	15780062
13963351	15780063
378462	16694262
378462	16694263
378462	16694264
378462	16694265
378462	16694266
378462	16694267
378462	16694268
378462	16694269
378462	16694270
378462	16694271
378462	72437337
378462	72437338
378462	72437339
378462	72437340
378462	72437341
378462	72437342
378462	72437343
378462	72437344
378462	72437345
378462	72437346
378462	72437143
378462	72437144
378462	72437145
378462	72437146
378462	72437147
378462	72437148
378462	72437149
378462	72437150
378462	72437151
213370	5047674
213370	5047675
213370	5047676
213370	5047677
213370	5047678
213370	5074619
213370	5074620
213370	5074621
213370	5074622
213370	5074623
213370	5074624
213370	5074625
213370	5074626
213370	5074627
213370	5074628
213370	14249855
311086	78274250
311086	20043169
311086	6476116
311086	6476117
311086	6476118
311086	6476119
311086	6476120
311086	6476121
311086	6476122
311086	6476123
311086	6476124
311086	6476125
311086	78274250
311086	20043169
311086	6476116
311086	6476117
311086	6476118
311086	6476119
311086	6476120
311086	6476121
311086	6476122
311086	6476123
311086	6476124
311086	6476125
24451345	97432235
24451345	97432236
24451345	97432217
24451345	97432237
24451345	97432238
24451345	97432239
24451345	97432240
24451345	97432241
24451345	97432242
24451345	97432243
185100	83100052
185100	83100053
185100	83100054
185100	83551196
185100	4722410
185100	4722411
185100	4722412
185100	4722413
185100	4722414
185100	4722415
185100	4722416
185100	4722417
185100	4722418
185100	4722419
185100	5033644
185100	5033645
185100	5033646
185100	5033647
185100	5033648
185100	5033649
185100	5033650
185100	5033651
185100	5033652
185100	5033653
230734	5240734
230734	5240735
230734	5240736
230734	5240737
230734	5240738
230734	5240739
230734	5240740
230734	5240741
230734	5240742
230734	5240743
230734	51120901
230734	51120902
230734	51120903
230734	89913429
230734	89913430
230734	89913431
230734	89913432
230734	89913433
230734	89913434
230734	89913435
230734	89913436
230734	89913437
230734	89913438
511188	34620165
511188	34620166
511188	34620167
511188	34620168
511188	9462074
511188	9462075
511188	9462076
511188	9462077
511188	9462078
511188	9462079
511188	9462080
511188	9462081
511188	9462082
511188	9462083
511188	102849326
511188	102849327
511188	102849328
511188	102849329
17527	1278601
17527	1278602
17527	1278603
17527	1278604
17527	1278605
17527	1278606
17527	1278607
17527	1278608
17527	1278609
17527	1278610
17527	16422186
17527	16422187
17527	16422188
17527	16422189
17527	16422190
17527	16422191
17527	31162868
17527	31162871
17527	31162874
17527	31162878
17527	31162881
17527	31162886
17527	31162891
17527	31162896
263983	6058091
263983	6058092
263983	6058093
263983	6058094
263983	6058095
263983	78202333
263983	85166442
263983	85166443
263983	85166444
263983	85166445
13841001	68751035
13841001	68751038
13841001	68751042
