key	value
3	Massive Attack
292868	Versailles
14342	Lulu
12295	Pretty Maids
198665	Nic Chagall
13	Bob Dylan
12302	The Hives
202767	Illusion
16	Bush
301073	John Murphy
18	Pavement
10243	Racoon
28692	The Honeycombs
373849	White Lies
24	Yo La Tengo
456708	Rudimental
26	Rammstein
27	Cat Power
29	Garbage
10270	Overkill
32	Alanis Morissette
34	Beck
36	Built to Spill
38	Dusty Springfield
20522	Röyksopp
43	Nirvana
53292	ВИА Гра
34861	Coheed and Cambria
46	Tori Amos
723	Blue Öyster Cult
48	Portishead
49	Radiohead
133690	Gang Gang Dance
80222	Sunlounger
16439	The Prodigy
261812	Scarlett Johansson
60	Enya
61	Madonna
8255	Carl Orff
64	Metallica
6617	Beastie Boys
38980	The National
69	Frank Sinatra
8262	Anathema
7521	Red Hot Chili Peppers
73	Enigma
7572	The Hollies
170059	Flight of the Conchords
77	Cliff Richard
851	Roy Orbison
14344273	Tommy James & The Shondells
8274	Porcupine Tree
14	10cc
86	Céline Dion
87	Eurythmics
88	George Michael
34907	Jack Wall
92	Prince & The Revolution
16477	Franz Liszt
94	Savage Garden
31077	Georg Friedrich Händel
96	The Cranberries
8665	My Bloody Valentine
8891	Gorillaz
34916	Mew
14319718	Don Straud
105	Foo Fighters
12394	Conjure One
108	Shaggy
445206	The Golden Filter
13969519	a-ha
112	Jimi Hendrix
114	Marilyn Manson
115	Ozzy Osbourne
117	Pink Floyd
118	Queen & David Bowie
119	Skid Row
120	Tom Petty
2169	MC5
125	Hans Zimmer
8319	Nick Cave & The Bad Seeds
13885569	Rhye
22658	DJ Shah
274563	Year of No Light
133	Cyndi Lauper
134	Dire Straits
138	BT
306199	Ronald Jenkees
143	Pixies
144	Limp Bizkit
8337	Nate Dogg
146	Fatboy Slim
69779	Damageplan
75924	Dream Theater
149	ATB
1049	Grandaddy
221336	Fanfarlo
8347	50 Cent
158	Fleetwood Mac
237253	Bat for Lashes
160	The Beatles
161	Chicane
163	Modern Talking
10404	Fischerspooner
170	Depeche Mode
555459	Factory Floor
8370	Oasis
477363	The Drums
401438	Passion Pit
39094	Celldweller
190	Violent Femmes
8383	Max Graham
193	Nine Inch Nails
432503	First Aid Kit
197	Korn
51401	Hey
202	Moby
171383	the GazettE
204	Blur
291022	Michael Mind
397519	Tritonal
209	Lenny Kravitz
210	Vengaboys
211	The Offspring
213	Sugar Ray
24434904	Ylvis
110809	Sander van Doorn
219	Deftones
220	Rage Against the Machine
1402	Ennio Morricone
222	Aphex Twin
225	Johnny Cash
226	Led Zeppelin
10467	Annihilator
10468	Behemoth
12859623	Amaranthe
554779	Kvelertak
10473	Meshuggah
234	Papa Roach
235	Binary Finary
11378926	Sabrina
10480	Suzi Quatro
6385	Laurent Garnier
243	Paul van Dyk
8436	The Chameleons
246	Godsmack
1031	Kate Bush
24492281	Pyotr Ilyich Tchaikovsky
252	Weezer
253	Aqua
6399	Anthrax
20737	Acid Drinkers
407818	Lunatic Soul
10507	Sparklehorse
268	Aerosmith
269	Alice in Chains
123152	Grizzly Bear
273	Blondie
96530	Wintersleep
276	Busta Rhymes
277	Christina Aguilera
405783	Zola Jesus
281	DMX
282	Daft Punk
13875433	Studio Killers
284	Dropkick Murphys
31006	Machinae Supremacy
10527	Hoobastank
15899	Solange
290	Green Day
10531	Adema
295	Michael Jackson
6440	Philip Glass
8490	Brian Eno
391	New Order
6447	Dead Kennedys
305	Europe
248378	M.I.A.
71987	Pidżama Porno
10548	Puddle of Mudd
6454	Godspeed You! Black Emperor
7220	The Who
13760828	Danger Mouse and Sparklehorse
8509	Tasmin Archer
16703	Håkan Hellström
6468	Dokken
9149	Ladytron
8524	Nevermore
389453	Asaf Avidan & the Mojos
7224	Sigur Rós
84306	The Kooks
12628	Paul Gilbert
72022	Cut Copy
100697	Alex M.O.R.P.H.
22875	Theory of a Deadman
350	Ian Van Dahl
13712	Spencer & Hill
355	Bad Religion
356	Van Halen
357	Lou Bega
359	Britney Spears
28970209	Wire
26458172	Prince and the New Power Generation
6506	Cinderella
10605	Howard Shore
6205	MF DOOM
6512	Iced Earth
