key	value
149163	Raintime
13793285	Rapture
45064	Epica
8876	B.B. King
184663	Cobra Starship
14	10
11608	Dark Tranquillity
14354	Omara Portuondo
81923	Watain
73038	All That Remains
21	The Replacements
67606	Ratatat
10269	Nashville Pussy
8226	Cab Calloway
55331	Johnny Kidd & The Pirates
12324	Stephen Stills
8229	Tommy Dorsey
303143	Tape Five
1297	Sheena Easton
204845	Peste Noire
10287	Julee Cruise
13989937	I
9	Squirrel Nut Zippers
53306	Stars of the Lid
49211	Billy Currington
14396	Sean Lennon
24638	Link Wray & His Ray Men
65	John Williams
15371	Lee Dorsey
403126	Telepathe
8263	The Hellacopters
194633	The Red Jumpsuit Apparatus
695	Elvis Costello & The Attractions
63565	Steve Angello
79	James Taylor
52497	Mnemic
11323	Ray Anthony
86	Dion & The Belmonts
4793	Dissection
39000	Doro
14364762	London Grammar
77915	Lostprophets
10333	Patrick Hernandez
8286	Gram Parsons
16479	Nuspirit Helsinki
100	De La Soul
106	Snoop Dogg
109	Air Supply
190575	Alison Krauss
26736	Panjabi MC
18546	Backyard Babies
10355	Lyn Collins
292980	Miles Kane
12405	Strapping Young Lad
13910134	Emily Browning
98425	XP8
284794	The Almost
2176	Flamin' Groovies
8321	Faith and the Muse
130	Toni Braxton
368771	Katie Herzig
73750	Ария
239750	Olli Schulz
409736	Inna
137	Creed
14475	The Melodians
13858	Underoath
142	Disturbed
80015	Marek Grechuta
13838482	Antônio Carlos Jobim
83990	Vetiver
1391	Plumb
346	Paul Johnson
13949142	Static-X
8351	Flogging Molly
153761	Chiodos
145572	Ida Corr
12453	Blue States
55462	Ohio Players
168	Chris Isaak
6313	Lisa Germano
172	Everything But the Girl
41135	Jet
24752	Dave Dee, Dozy, Beaky, Mick & Tich
1506	Bob James
11635	Devin Townsend
43189	Matchbook Romance
49335	Blue Foundation
26414929	FC/Kahuna
297149	Carolina Chocolate Drops
4288	Gorguts
8280	Jean Sibelius
20674	Freddy Fender
4292	Bo Diddley
16582	Ricchi e poveri
3105	Kenny Burrell
6344	Sarah Brightman
201	Aaliyah
205	Brian Setzer
21197	Minus the Bear
208	Incubus
264403	Yppah
495829	Tiê
214	Dr. Dre
283001	JJ Grey & Mofro
57560	The Wailin' Jennys
102617	13
4315	Penumbra
221	Atari Teenage Riot
413919	Jessica Mauboy
472262	Easton Corbin
6372	Darude
10470	Carpathian Forest
9214	Ahmad Jamal
16852	César Franck
8429	Junior Wells
239	Leftfield
240	Primal Scream
8433	Vanessa Paradis
8437	Jimmy Smith
247	Bebel Gilberto
12536	The Kovenant
250	Andrea Bocelli
5873	Cradle of Filth
12540	Thursday
80125	Aeoliah
73985	Rotten Sound
286979	Peter Broderick
16580	Toto Cutugno
261	Ginuwine
125191	Stam1na
12697864	The Vaccines
11308	Lacuna Coil
6410	Prong
1850	Fontella Bass
6412	Juliette Lewis
8237	DJ Krush
104721	Nachtmahr
61714	Texas
3459	Amorphis
165218	Becoming the Archetype
6422	Machines Of Loving Grace
11125	Johnny Horton
3119	Susannah Mccorkle
63772	The Black Dahlia Murder
351309	Amberian Dawn
6434	DJ Bobo
248378	Mia
292	Jennifer Lopez
186661	Egypt Central
13035	Titiyo
8488	Erik Satie
297	Natalie Imbruglia
6443	Apollo 440
13926700	Tacabro
8493	Astral Projection
6446	Bonnie Tyler
125231	Parov Stelar
465200	Adam Lambert
22920	Orchestra Baobab
306	Michael Hedges
308	Armand van Helden
24498488	Done Again
14373178	Cake
6464	Spacehog
321	Inner City
485699	Gomez
18757	Micatone
37191	Xandria
328	Technotronic
329	Moloko
8522	Béla Bartók
19511	Septic Flesh
389453	Asaf Avidan
10575	Shelby Lynne
8528	Pitchshifter
8529	Sentenced
14734	Georgie Fame
10583	St. Germain
31066	The Big Bopper
6491	Cameo
506705	Young Guns
377184	Cage the Elephant
6498	Julian Cope
13885795	James
449254	Devin Townsend Project
364	M People
402	ABBA
12654	Oleta Adams
20847	Hot Hot Heat
70001	Poets of the Fall
8563	Deicide
16756	Superjoint Ritual
145470	Boys Noize
168311	Sonic Syndicate
65940	Annie
378	Eric Carmen
6523	Michel Camilo
303509	Meiko
384	Village People
387	Meredith Brooks
45121	Story of the Year
31112	Kool & The Gang
748	John Hiatt
5946	Napalm Death
10638	Edenbridge
2448	Les Brown
141714	I:Scintilla
43411	Belphegor
404	Groove Armada
16789	Meredith Monk
28588438	The Courteeners
63895	Aloe Blacc
481688	Parabelle
10650	Little Walter
25327	Hanzel und Gretyl
8538	Kenny Chesney
12357	Archie Shepp
415	Van Morrison
418	Lunatic Calm
419	Monster Magnet
10660	Suzanne Ciani
8613	Reel 2 Real
10993	Mint Royale
6215	Them
24951213	Peanut Butter Wolf
10671	De-Phazz
432	Fugees
297393	Naomi
434	Marvin Gaye
435	Morcheeba
47540	Forest Stream
8629	Goldfrapp
3015	Fates Warning
440	Mr. Oizo
14778	Corvus Corax
10683	Waldeck
10997	Joe Sample
31169	Gary Jules
2498	Jimmie Lunceford
231875	Far East Movement
453	Dead Can Dance
454	Gravity Kills
458	Jamiroquai
4173	Johnny Winter
39377	The Quantic Soul Orchestra
467	KMFDM
86484	Браво
2517	Rod Stewart
389590	Sweethead
471	Staind
2520	The Trashmen
420	Toad The Wet Sprocket
536647	Solution .45
33530	Carpark North
45477	Wilson Simonal
252384	Lifelover
13759568	Harold Budd/Brian Eno
8678	Tim McGraw
197095	Birdy Nam Nam
6633	Medeski, Martin and Wood
70124	Submersed
20975	She & Him
6642	Rhapsody of Fire
37367	The Devin Townsend Band
107000	Club des Belugas
10747	Scanners
515	The Brian Setzer Orchestra
836	Chic
6665	Anggun
