key	value
163841	Mattafix
3	Massive Attack
65540	Bebo Valdés
7	Robert Miles
9	Squirrel Nut Zippers
10	Giant Sand
11	Eric Serra
13	Bob Dylan
14	10
15	Art of Noise
16	Bush
17	Tom Waits
18	Pavement
21	The Replacements
22	Stevie Wonder
23	The Stone Roses
24	Yo La Tengo
26	Rammstein
27	Cat Power
28	The Dismemberment Plan
29	Garbage
30	Hole
32	Alanis Morissette
33	Ani DiFranco
34	Beck
35	Beth Orton
36	Built to Spill
38	Dusty Springfield
39	Elliott Smith
229416	Jane Air
41	Le Tigre
43	Nirvana
44	Sleater-Kinney
46	Tori Amos
47	Modest Mouse
48	Portishead
49	Radiohead
491570	Fashawn
14363315	MMOTHS
53	Harold Faltermeyer
54	Phish
56	Cypress Hill
57	Madness
60	Enya
61	Madonna
13789877	Keaton Henson
64	Metallica
65	John Williams
66	The Bangles
67	Burl Ives
68	Bing Crosby & The Andrews Sisters
69	Frank Sinatra & Tommy Dorsey
71	Harry Connick, Jr.
72	Mariah Carey
73	Enigma
74	George Winston
75	The Chieftains
76	New Edition
77	Cliff Richard
78	Dan Fogelberg
79	James Taylor
14365289	Kim Cesarion
82	The Temptations
83	Wang Chung
84	Annie Lennox
85	Billy Joel
86	Dion & The Belmonts
87	Eurythmics
88	George Michael
89	Gloria Estefan
90	Janet Jackson
91	Charles & Eddie
92	Prince & The Revolution
93	Richard Marx
94	Savage Garden
95	Bryan Adams
96	The Cranberries
196624	Djuma Soundsystem
98	Wilson Phillips
99	2Pac
100	De La Soul
101	Ice Cube
14319718	Don Straud
103	MC Lyte
104	Method Man & Redman
105	Foo Fighters
106	Snoop Dogg & Wiz Khalifa
107	The Sugarhill Gang
108	Shaggy
109	Air Supply
110	Alice Cooper
111	Boston
112	Jimi Hendrix
113	Kansas
114	Marilyn Manson
115	Ozzy Osbourne
116	Pearl Jam
117	Pink
118	Queen + Paul Rodgers
119	Skid Row
120	Tom Petty
121	U2
122	Sade
123	Sheryl Crow
124	Sinéad O'Connor
125	Hans Zimmer & James Newton Howard
126	Danny Elfman
127	Goldfinger
128	Lauryn Hill
129	Snap!
130	Toni Braxton
32899	Haggard
133	Cyndi Lauper
134	Dire Straits
13893767	Vacationer
136	Elton John
137	Creed
138	BT
140	The Chemical Brothers
142	Disturbed
143	Pixies
144	Limp Bizkit
145	Def Leppard
146	Fatboy Slim
147	Cygnus X
148	Propellerheads
149	ATB
150	Alice Deejay
153	Eiffel 65
154	Veracocha
155	Soul Coughing
156	Chris Cornell
157	Bruce Cockburn
158	Fleetwood Mac
159	Kirsty MacColl
160	The Beatles
161	Chicane
162	Blind Melon
163	Modern Talking
164	Áine Minogue
165	Bryan Ferry
167	Chet Atkins
168	Chris Isaak
169	Daniel Lanois
170	Depeche Mode
171	Erasure
172	Everything But the Girl
173	Fastball
174	Iris DeMent
175	k.d. lang
176	Martin L. Gore
177	Oingo Boingo
178	Peter Cetera
179	Recoil
180	Ricky Martin
181	Acker Bilk
186	Rosemary Clooney
188	Taco
189	The Ventures
190	Violent Femmes
13992127	Cherub
192	Edwin McCain
193	Nine Inch Nails
194	Whitesnake
195	Yes
196	Dead or Alive
197	Korn
198	Biz Markie
199	Monty Python
200	House of Pain
201	Aaliyah
202	Theme
203	311
204	Blur
205	Brian Setzer
206	Faith Hill
207	Smash Mouth
208	Incubus
209	Lenny Kravitz
210	Vengaboys
211	OFF!
212	Powerman 5000
213	Sugar Ray
214	Dr. Dre
216	The Fresh & Onlys
217	Juvenile
218	Glen Campbell
219	Deftones
220	Rage Against the Machine
221	Atari Teenage Riot
222	Aphex Twin
223	Chumbawamba
225	Cash Cash
226	Led Zeppelin
227	Mudhoney
196836	Grouper
229	Berlin
232	Sublime
233	Veruca Salt
234	Papa Roach
235	Binary Finary
236	Antiloop
237	Macy Gray
238	Kraftwerk
239	Leftfield
240	Primal Scream
243	Paul van Dyk
244	Gordon Lightfoot
245	The Kinks
246	Godsmack
247	Bebel Gilberto
249	Sonique
250	Andrea Bocelli
252	Weezer
253	Aqua
255	Fenix TX
256	Lone
65793	Black Strobe
258	No Doubt
259	Joe
261	Ginuwine
264	Third Eye Blind
14123273	Mélanie Laurent
266	702
268	Aerosmith
269	Alice in Chains
270	The Aquabats
271	Backstreet Boys
272	Ben E. King
273	Blondie
274	Blues Traveler
276	Busta Rhymes
277	Christina Aguilera
278	Coolio
98583	The Dead Texan
281	DMX
282	Daft Punk
283	Dave Matthews & Tim Reynolds
284	Dropkick Murphys
285	Eagle-Eye Cherry
286	EVE 6
287	Everclear
288	Face to Face
290	Green Day
291	Ja Rule
292	Jennifer Lopez
293	Kurupt
294	Mest
295	Michael Jackson
296	MxPx
297	Natalie Imbruglia
298	OutKast
299	Reel Big Fish
300	Rob Zombie
301	Stone Temple Pilots
302	UB40
459055	Fun
304	Xzibit
305	Europe
306	Michael Hedges
360755	Felix Cartal
308	Armand van Helden
310	Whigfield
313	Fragma
33083	Slo Burn
524604	Rise To Remain
426301	Movits!
321	Inner City
322	Chayanne
131395	Neaera
325	Nightnoise
328	Technotronic
329	Moloko
330	Afrika Bambaataa
332	The Romantics
335	Corona
342	La Bouche
344	Milk Inc.
346	Paul Johnson
350	Ian Van Dahl
351	Paul Hardcastle
352	Pet Shop Boys
355	Bad Religion
356	Van Halen
357	Lou Bega
358	Hanson
359	Britney Spears
360	Donna Summer
362	Cornershop
364	M People
365	Spandau Ballet
367	All Saints
368	Dune
369	Jewel
370	Simply Red
371	Take That
372	Eros Ramazzotti
373	Bruce Springsteen & The E Street Band
33142	Brian Tyler
375	John Lennon & Yoko Ono
376	Lighthouse Family
377	Mike Oldfield
378	Eric Carmen
379	Manfred Mann
380	The Police
382	Lynyrd Skynyrd
383	The Rolling Stones
384	Village People
385	The Proclaimers
386	Republica
387	Meredith Brooks
388	The Cardigans
389	The Corrs
390	666
391	New Order
394	Scooter
396	Deutsch Amerikanische Freundschaft
13107598	Destroy Rebuild Until God Shows
399	Faithless
400	Seal
401	A Perfect Circle
402	ABBA
404	Groove Armada
13795733	He Is We
407	Juno Reactor
408	Public Enemy
411	The Crystal Method
412	The Future Sound of London
413	Tricky
415	Van Morrison
416	The Cure
417	Sixpence None the Richer
418	Lunatic Calm
419	Monster Magnet
420	Toad The Wet Sprocket
421	Ben Folds Five
423	Sneaker Pimps
424	Eric Clapton
425	Ash
426	Eminem
524359	Bare Noize
428	The Guess Who
429	Arrested Development
393646	Noize MC
431	David Bowie
432	Fugees
433	Geto Boys
434	Marvin Gaye & Tammi Terrell
435	Morcheeba
436	Neil Young & Crazy Horse
437	The Black Crowes
438	Jefferson Airplane
440	Mr. Oizo
441	Shania Twain
442	Dean Martin
443	Loreena McKennitt
444	Whitney Houston
445	The Jayhawks
446	Butthole Surfers
447	Sting
448	Billy Idol
449	Lords of Acid
450	Asian Dub Foundation
164291	Pure Reason Revolution
328132	Laura Marling
453	Can
454	Gravity Kills
455	Haddaway
457	Don Henley
295370	Mavado
459	The Mighty Mighty Bosstones
461	Wyclef Jean
463	Faith No More
464	Fear Factory
465	Filter
295378	Kasper Bjørke
467	KMFDM
468	Orbital
469	Sevendust
470	Stabbing Westward
471	Staind
472	Sunny Day Real Estate
473	Type O Negative
474	Cowboy Junkies
475	Hooverphonic
476	Ludwig van Beethoven
477	Björk
479	Fiona Apple
480	Nusrat Fateh Ali Khan
481	Primal Fear
482	Rainbow
483	Talking Heads
360932	Rye Rye
485	Soulive
486	George Carlin
197095	Birdy Nam Nam
488	Andrew Lloyd Webber
436988	Gold Panda
490	Basement Jaxx
284071	Josh Wilson
197102	Legion of the Damned
66033	The Veils
499	Manu Chao
12517878	Submotion Orchestra
504	Barenaked Ladies
505	Belly
506	Jackson Browne
507	Adam Sandler
508	Better Than Ezra
509	Collective Soul
510	Cracker
511	Elastica
513	Fountains of Wayne
514	Heather Nova
515	The Brian Setzer Orchestra
24773124	Dyland & Lenny
517	Juliana Hatfield
519	Liz Phair
520	Luscious Jackson
33289	Château Flight
13598807	Lil B
393740	Melissa Horn
525	Soundgarden
66062	Delays
527	The Flaming Lips
529	Kenny Rogers & The First Edition
530	Living Colour
531	John Denver
532	Steely Dan
535	The Breeders
536	Mazzy Star
537	Barry White
538	Jacques Brel
539	Suzanne Vega
33308	múm
16474	Bjørn Eidsvåg
542	The Beach Boys
12224	Xscape
545	After the Fire
33314	Juice Leskinen
547	Culture Club
548	Duran Duran
549	Falco
550	Missing Persons
551	Sacred Reich
552	Soul II Soul
553	Wes Montgomery
554	The Smiths
33323	22-Pistepirkko
556	Pulp
14338887	MØ
558	Barbra Streisand
561	Tenacious D
562	Wilco
563	Dinosaur Jr.
564	Guided by Voices
565	XTC
566	Gloria Gaynor
567	The Waterboys
568	Randy Newman
98873	Stafrænn Hákon
571	Bic Runga
572	Bif Naked
573	Bran Van 3000
574	Aimee Mann
576	Dar Williams
578	Esthero
580	Joni Mitchell
581	Sarah McLachlan
583	The Tragically Hip
586	植松伸夫
587	Aphrodite
590	Art Of Trance
591	Cassius
131664	Wednesday 13
594	The Beta Band
33363	Devendra Banhart
597	Pulsedriver
598	Silencer
600	Sasha
13304410	Валентин Стрыкало
603	James Horner
604	Trevor Rabin
605	Glenn Miller
606	Luis Miguel
607	Maná
608	Natalie Merchant
609	Social Distortion
610	Soft Cell
611	Soul Asylum
612	The Knack
102	Jay-Z & Kanye West
328294	Heroin and Your Veins
615	Shakira
616	Jerry Goldsmith
617	Stereolab
618	Laika
619	Peter Gabriel
620	Sam Cooke
621	Right Said Fred
622	Fluke
623	Indigo Girls
624	Bauhaus
626	AC
628	Nitzer Ebb
630	South Park
631	Feeder
632	Poe
633	Primus
634	Skunk Anansie
635	Slipknot
98943	Wintersun
640	Aleks Syntek
644	Tangerine Dream
645	Black Sabbath
646	Thompson Twins
647	The Animals
648	The Cars
649	Cream
650	Foreigner
651	Frankie Goes to Hollywood
492172	Veronica Falls
653	Paul Oakenfold
654	Peter Schilling
655	Dio
656	VNV Nation
658	Apoptygma Berzerk
659	Wheatus
660	Millencolin
661	NOFX
662	Aretha Franklin
663	E-Rotic
664	The Dust Brothers
665	Jessica Simpson
666	Petter
667	The Ataris
668	Tracy Chapman
669	Lyle Lovett
670	Eddie Money
674	Agnostic Front
676	Bombshell Rocks
677	The Bouncing Souls
679	Genesis
681	Harry Chapin
684	Pennywise
685	Pulley
686	Rancid
687	Refused
131760	Be Your Own Pet
689	Ten Foot Pole
691	Voodoo Glow Skulls
98997	Lori Meyers
98998	Amorphous Androgynous
695	Elvis Costello & The Attractions
696	Ian Anderson
698	Grateful Dead
699	INXS
700	DJ Spooky
702	Elvis Presley
33471	Chavela Vargas
705	Craig David
706	Bloodhound Gang
708	Jesus Jones
710	Baha Men
711	Save Ferris
712	Sponge
713	EMF
714	Kittie
715	Jane's Addiction
717	The Faint
718	Deep Purple
230095	The Classic Crime
721	Charlie Parker
723	Blue Öyster Cult
724	Scorpions
725	Billy Ray Cyrus
726	Dolly Parton
98425	XP8
131800	Rabbit Junk
729	Vertical Horizon
26575579	Maximum the Hormone
732	Jars of Clay
733	Tina Turner
734	Howard Jones
735	Amon Tobin
736	George Clinton
153040	Brett Anderson
738	The Roots
740	Jimmy Cliff
742	Jim James
743	The Wallflowers
744	Eric Burdon & The Animals
745	George Strait
746	Loretta Lynn
747	Billy Ocean
748	John Hiatt
749	Bonnie Raitt
750	Montell Jordan
751	Melissa Etheridge
752	Herbie Hancock
753	Corrosion of Conformity
755	Emmylou Harris
756	Linda Ronstadt
757	Helmet
33526	Aereogramme
99063	Farben Lehre
760	Fred Astaire
762	John Lee Hooker
33531	The Emotions
765	Journey
766	Mott the Hoople
767	Judas Priest
768	Joe Walsh
33537	Styles of Beyond
770	Muddy Waters
771	Bachman-Turner Overdrive
773	Al Green
774	Rick James
775	Antony
776	Hands
777	Lagwagon
